小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-20 15:58:02,2022-07-19一般吧，不过片方费这么大劲最后没进华语市场这枪躺得也是可怜
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-06-24 19:58:21,这电影太适合我这种英语废材了！百分之70都是minionese～(((o(*ﾟ▽ﾟ*)o)))
宫锁沉香,剧情/爱情/古装,2013-08-13(中国大陆),5.4,2013-08-14 19:59:10,于妈谢谢您告诉我晚上可以用蜂蜜吸引蝴蝶九龙夺嫡是九爷跟四爷斗八爷原来是可以隐形的宫女可以来去匆匆自由活动没有限制喜欢一个人竟然连她的声音都分辨不出来太子被废原来是因为在皇宫里唱大闹天宫从火炭上赤脚走过去竟然还能徒步走到宗人府爱的精神太伟大了女主说一句我是沉香会死…我太感谢您了。
宫锁沉香,剧情/爱情/古装,2013-08-13(中国大陆),5.4,2013-07-17 20:42:54,真替十三阿哥的听力捉急。
宫锁沉香,剧情/爱情/古装,2013-08-13(中国大陆),5.4,2013-07-17 16:58:04,久违的宫廷电影 今年华语电影中算上乘之作 看好它的市场表现 摄影讲究 CG略假 人物设定上基本无硬伤 没有多余人物 每个人物都塑造得较鲜活 包贝尔的表现很出彩 周冬雨演得也不错 剧情上雷点较少 感情主线和宫斗辅线编织得巧妙 爱情戏尤好 但有硬伤 沉香在照顾十三那段时间太过自由 从属关系交代不清
宫锁沉香,剧情/爱情/古装,2013-08-13(中国大陆),5.4,2013-08-14 23:39:40,片尾字幕升起的时候，我哭了。当我低头看到电影票上印的『40元』字样时，我哭的更伤心了。妈蛋啊！我还请了两个朋友一起看！虽然是业务学习，但一会儿还是得请他们吃饭赔罪！
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-01 11:02:39,过于幼稚不是最大的问题，而是创作上的偷懒和整体的无趣。小Gru的经历本身并没有太大看点，而中国元素的应用简直让人扶额，相比之下功夫熊猫也不算糟了
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 01:38:30,其实只要放两个小时小黄人搞笑卖萌就行了，真的不要费心思去编什么故事的
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-01 07:39:58,一部把农历新年翻译成Chinese New Year而不是Lunar New Year的电影
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 05:43:30,笑了但没完全笑
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-05 06:58:32,小黄人们：🥺🥺🥺 全场：awwwww🥰💕
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-06-25 11:08:25,张家界丢宝玉，小黄人学功夫，十二生肖大战唐人街，中国元素超饱和的格鲁起源大电影，连片头曲Bang Bang都是中文的。11岁就立志成为天下第一坏，却始终不忘坏就要一起坏的初心，可能这就是神偷奶爸可爱的原因吧。小黄人开飞机那段太好笑了，我想大叫BA--NANA！
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 01:38:30,其实只要放两个小时小黄人搞笑卖萌就行了，真的不要费心思去编什么故事的
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 05:43:30,笑了但没完全笑
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 01:38:30,其实只要放两个小时小黄人搞笑卖萌就行了，真的不要费心思去编什么故事的
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-20 15:58:02,2022-07-19一般吧，不过片方费这么大劲最后没进华语市场这枪躺得也是可怜
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 05:43:30,笑了但没完全笑
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-08-02 16:57:07,相当无趣的续集及起源电影，剧情基本为零，恶搞程度弱了很多，笑点也不如想象中足。作为全球最成功的ip动画电影之一，这盘时隔多年的冷饭显然并没有炒好，本作可谓典型的不思进取，敷衍的创作态度暴露在各个方面，主线与几条支线的情节推进莫名其妙，就连最基本的叙事逻辑都给抛弃了，袖珍的时长里全靠小黄人招牌的卖萌耍贱来努力取悦观众。至于十二生肖、农历春节、唐人街、功夫，这些古早而保守的中国文化元素完全就是为了迎合...
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-01 11:02:39,过于幼稚不是最大的问题，而是创作上的偷懒和整体的无趣。小Gru的经历本身并没有太大看点，而中国元素的应用简直让人扶额，相比之下功夫熊猫也不算糟了
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2008-12-10 04:52:20,这片很乐
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2010-11-03 11:58:47,小时候很厌烦的一片.重看之下发现其实是挺不错的.有点小说冬季宿营地的味道啦!发现导演JACQUES NOLOT演的片子以前也看过不少了.在00年以后浮夸的同志电影大气候中间，此片的平静和耐心尤其显得可贵，首先是电影，然后是同志电影.台词:月圆啦!我需要鸡巴!
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2018-06-18 18:52:17,【补標】看过DVD
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2007-11-23 10:37:21,差不多也算独树一帜，但力度不够
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2009-06-30 23:37:35,太长见识了
悲惨世界 Les Misérables,剧情/爱情/歌舞,2013-02-28(中国大陆),8.7,2012-12-16 07:37:29,看此片前强烈建议你上youtube免费看悲惨世界百老汇25年特辑音乐剧！（有字幕）让你在剧院看戏不会因为音乐剧英语消耗量太大而苦恼.
悲惨世界 Les Misérables,剧情/爱情/歌舞,2013-02-28(中国大陆),8.7,2012-12-28 11:46:20,你遇见谁你就变成谁
